Unnamed: 0,Model,Price_w/o_shipping,Vendor,Date
120,"Sony SA-RS3S, Paar","€ 429,90",Köck,2024-07-12
121,"Sony SA-RS3S, Paar","€ 429,90",Foto Lamprechter,2024-07-12
122,"Sony SA-RS3S, Paar","€ 429,90",Foto Straub,2024-07-12
123,"Sony SA-RS3S, Paar","€ 429,90",e-tec.at,2024-07-12
124,"Sony SA-RS3S, Paar","€ 429,90",Vienna Camera,2024-07-12
125,"Sony SA-RS3S, Paar","€ 429,90",HeimkinoWelt,2024-07-12
126,"Sony SA-RS3S, Paar","€ 453,77",haym.infotec,2024-07-12
127,"Sony SA-RS3S, Paar","€ 453,77",Amazon.at,2024-07-12
128,"Sony SA-RS3S, Paar","€ 454,99",Media Markt.at,2024-07-12
129,"Sony SA-RS3S, Paar","€ 494,00",ElectronicShop24,2024-07-12
130,"Sony SA-RS3S, Paar","€ 523,71",getgoods.com,2024-07-12
131,"Sony SA-RS3S, Paar","€ 613,94",mylemon.at,2024-07-12
132,"Elac Carina BS243.4 weiß, Stück","€ 436,00",Köck,2024-07-12
133,"Elac Carina BS243.4 weiß, Stück","€ 436,00",HeimkinoWelt,2024-07-12
134,"Elac Carina BS243.4 weiß, Stück","€ 436,00",electronic4you,2024-07-12
135,"Elac Carina BS243.4 weiß, Stück","€ 438,00",electronic4you,2024-07-12
136,"Elac Carina BS243.4 weiß, Stück","€ 438,00",Majdic,2024-07-12
137,"Elac Carina BS243.4 weiß, Stück","€ 439,99",Media Markt.at,2024-07-12
138,"Edifier R1700BT weiß, Paar","€ 148,61",mylemon.at,2024-07-12
139,"Edifier R1700BT weiß, Paar","€ 148,62",haym.infotec,2024-07-12
140,"Edifier R1700BT weiß, Paar","€ 155,93",Amazon.at,2024-07-12
141,"Edifier R1700BT weiß, Paar","€ 159,90",alza.at,2024-07-12
142,"Edifier R1700BT weiß, Paar","€ 160,99",1ashop.at,2024-07-12
143,"Edifier R1700BT weiß, Paar","€ 160,99",Future-X.at,2024-07-12
144,"Edifier R1700BT weiß, Paar","€ 167,00",ElectronicShop24,2024-07-12
145,"Edifier R1700BT weiß, Paar","€ 171,90",Alternate.at,2024-07-12
146,"Edifier R1700BT weiß, Paar","€ 172,27",Proshop.at,2024-07-12
147,"Edifier R1700BT weiß, Paar","€ 176,87",Di-Life,2024-07-12
148,"Edifier R1700BT weiß, Paar","€ 182,79",mylemon.at,2024-07-12
149,"Edifier R1700BT weiß, Paar","€ 185,00",ms-it-beratung,2024-07-12
150,"Vision SP-900P, Paar","€ 66,61",Amazon.at,2024-07-12
151,"Vision SP-900P, Paar","€ 145,90",complIT EDV,2024-07-12
152,"Vision SP-900P, Paar","€ 148,37",BA-Computer,2024-07-12
153,"Vision SP-900P, Paar","€ 154,34",0815,2024-07-12
154,"Vision SP-900P, Paar","€ 154,34",1ashop.at,2024-07-12
155,"Vision SP-900P, Paar","€ 155,28",Proshop.at,2024-07-12
156,"Vision SP-900P, Paar","€ 159,00",ElectronicShop24,2024-07-12
157,"Vision SP-900P, Paar","€ 159,00",e-tec.at,2024-07-12
158,"Vision SP-900P, Paar","€ 160,24",galaxus.at,2024-07-12
159,"Vision SP-900P, Paar","€ 160,90",DiTech.at,2024-07-12
160,"Vision SP-900P, Paar","€ 160,90",I-CS,2024-07-12
161,"Vision SP-900P, Paar","€ 165,10",Future-X.at,2024-07-12
162,"Vision SP-900P, Paar","€ 276,76",mylemon.at,2024-07-12
163,"Sharp CP-SS30 schwarz, Paar","€ 69,99",ek-online,2024-07-12
164,"Sharp CP-SS30 schwarz, Paar","€ 70,01",haym.infotec,2024-07-12
165,"Sharp CP-SS30 schwarz, Paar","€ 75,49",Handybörse DG e.U,2024-07-12
166,"Sharp CP-SS30 schwarz, Paar","€ 79,00",Handyjob,2024-07-12
167,"Sharp CP-SS30 schwarz, Paar","€ 79,99",neckermann.at,2024-07-12
168,"Sharp CP-SS30 schwarz, Paar","€ 86,99",Handybörse,2024-07-12
169,"Sharp CP-SS30 schwarz, Paar","€ 89,89",mylemon.at,2024-07-12
170,"Sharp CP-SS30 schwarz, Paar","€ 89,90",e-tec.at,2024-07-12
171,"Sharp CP-SS30 schwarz, Paar","€ 89,90",INTERSPAR Onlineshop,2024-07-12
172,"Sharp CP-SS30 schwarz, Paar","€ 90,89",mylemon.at,2024-07-12
173,"Sharp CP-SS30 schwarz, Paar","€ 90,90",DiTech.at,2024-07-12
174,"Sharp CP-SS30 schwarz, Paar","€ 90,99",OTTO Österreich,2024-07-12
175,"Sharp CP-SS30 schwarz, Paar","€ 91,22",Amazon.at,2024-07-12
176,"Sharp CP-SS30 schwarz, Paar","€ 95,02",Proshop.at,2024-07-12
177,"Sharp CP-SS30 schwarz, Paar","€ 96,70",techonly,2024-07-12
178,"Sharp CP-SS30 schwarz, Paar","€ 106,17",getgoods.com,2024-07-12
179,"Canton GLE 20 braun, Stück","€ 239,00",Radio Krejcik Wien,2024-07-12
180,"Canton GLE 20 braun, Stück","€ 239,00",HeimkinoWelt,2024-07-12
181,"Canton GLE 20 braun, Stück","€ 273,99",Media Markt.at,2024-07-12
182,"Canton GLE 20 braun, Stück","€ 478,00",HeimkinoWelt,2024-07-12
183,"Canton GLE 20 braun, Stück","€ 478,00",d-t-s.at,2024-07-12
184,"Edifier S1000 MKII, Paar","€ 291,30",mylemon.at,2024-07-12
185,"Edifier S1000 MKII, Paar","€ 291,31",Proshop.at,2024-07-12
186,"Edifier S1000 MKII, Paar","€ 292,31",haym.infotec,2024-07-12
187,"Edifier S1000 MKII, Paar","€ 311,89",Future-X.at,2024-07-12
188,"Edifier S1000 MKII, Paar","€ 316,90",I-CS,2024-07-12
189,"Edifier S1000 MKII, Paar","€ 322,00",ElectronicShop24,2024-07-12
190,"Edifier S1000 MKII, Paar","€ 322,90",alza.at,2024-07-12
191,"Edifier S1000 MKII, Paar","€ 350,93",Di-Life,2024-07-12
192,"Edifier S1000 MKII, Paar","€ 371,00",ms-it-beratung,2024-07-12
193,"Elac Debut 2.0 F5.2, Stück","€ 217,00",electronic4you,2024-07-12
194,"Elac Debut 2.0 F5.2, Stück","€ 219,00",electronic4you,2024-07-12
195,"Elac Debut 2.0 F5.2, Stück","€ 219,00",Majdic,2024-07-12
196,"Elac Debut 2.0 F5.2, Stück","€ 219,00",HeimkinoWelt,2024-07-12
197,"Elac Debut 2.0 F5.2, Stück","€ 219,99",Media Markt.at,2024-07-12
198,"Elac Debut 2.0 F5.2, Stück","€ 247,05",Amazon.at,2024-07-12
199,"Elac Debut 2.0 F5.2, Stück","€ 252,99",visunext.at,2024-07-12
200,"LG SPK8-S, Paar","€ 149,99",Universal Versand,2024-07-12
201,"LG SPK8-S, Paar","€ 149,99",OTTO Österreich,2024-07-12
202,"LG SPK8-S, Paar","€ 182,00",ElectronicShop24,2024-07-12
203,"LG SPK8-S, Paar","€ 198,99",neckermann.at,2024-07-12
204,"LG SPK8-S, Paar","€ 292,38",mylemon.at,2024-07-12
205,"Monitor Audio Silver AMS 7G schwarz, Stück","€ 499,50",HeimkinoWelt,2024-07-12
206,"Monitor Audio Silver AMS 7G schwarz, Stück","€ 948,00",Akustik Projekt,2024-07-12
207,"Monitor Audio Silver AMS 7G schwarz, Stück","€ 978,00",HeimkinoPLUS,2024-07-12
208,"Monitor Audio Silver AMS 7G schwarz, Stück","€ 998,00",HeimkinoPLUS,2024-07-12
209,"Monitor Audio Silver AMS 7G schwarz, Stück","€ 998,00",Heimkino24,2024-07-12
210,"Monitor Audio Silver C250 7G High Gloss Black, Stück","€ 850,00",Akustik Projekt,2024-07-12
211,"Monitor Audio Silver C250 7G High Gloss Black, Stück","€ 878,00",HeimkinoPLUS,2024-07-12
212,"Monitor Audio Silver C250 7G High Gloss Black, Stück","€ 898,00",HeimkinoPLUS,2024-07-12
213,"Monitor Audio Silver C250 7G High Gloss Black, Stück","€ 898,00",HiFi-Design,2024-07-12
214,"Monitor Audio Silver C250 7G High Gloss Black, Stück","€ 898,00",HeimkinoWelt,2024-07-12
215,"Monitor Audio Silver C250 7G High Gloss Black, Stück","€ 898,00",d-t-s.at,2024-07-12
216,"Monitor Audio Silver C250 7G High Gloss Black, Stück","€ 898,00",Heimkino24,2024-07-12
217,"Bose Surround Speakers schwarz, Paar","€ 307,90",Amazon.at,2024-07-12
218,"Bose Surround Speakers schwarz, Paar","€ 329,99",Media Markt.at,2024-07-12
219,"Bose Surround Speakers schwarz, Paar","€ 349,00",Red Zac,2024-07-12
220,"Bose Surround Speakers schwarz, Paar","€ 464,63",mylemon.at,2024-07-12
221,"Bose Surround Speakers schwarz, Paar","€ 464,90",alza.at,2024-07-12
222,"Edifier R1280DB braun, Paar","€ 117,24",geniuzcom,2024-07-12
223,"Edifier R1280DB braun, Paar","€ 117,48",haym.infotec,2024-07-12
224,"Edifier R1280DB braun, Paar","€ 117,90",alza.at,2024-07-12
225,"Edifier R1280DB braun, Paar","€ 122,05",mylemon.at,2024-07-12
226,"Edifier R1280DB braun, Paar","€ 122,06",Proshop.at,2024-07-12
227,"Edifier R1280DB braun, Paar","€ 125,19",Amazon.at,2024-07-12
228,"Edifier R1280DB braun, Paar","€ 129,90",I-CS,2024-07-12
229,"Edifier R1280DB braun, Paar","€ 130,99",Future-X.at,2024-07-12
230,"Edifier R1280DB braun, Paar","€ 131,90",Alternate.at,2024-07-12
231,"Edifier R1280DB braun, Paar","€ 135,00",ElectronicShop24,2024-07-12
232,"Edifier R1280DB braun, Paar","€ 138,98",DiTech.at,2024-07-12
233,"Edifier R1280DB braun, Paar","€ 139,00",e-tec.at,2024-07-12
234,"Edifier R1280DB braun, Paar","€ 140,41",reichelt.at,2024-07-12
235,"Edifier R1280DB braun, Paar","€ 141,00",Muziker,2024-07-12
236,"Edifier R1280DB braun, Paar","€ 142,80",1ashop.at,2024-07-12
237,"Edifier R1280DB braun, Paar","€ 148,00",ms-it-beratung,2024-07-12
238,"Edifier R1280DB braun, Paar","€ 160,77",mylemon.at,2024-07-12
239,"Edifier R1280DB braun, Paar","€ 168,36",Di-Life,2024-07-12
240,"Edifier R2850DB, Paar","€ 384,58",Proshop.at,2024-07-12
241,"Edifier R2850DB, Paar","€ 384,90",alza.at,2024-07-12
242,"Edifier R2850DB, Paar","€ 394,35",e-tec.at,2024-07-12
243,"Edifier R2850DB, Paar","€ 394,37",Amazon.at,2024-07-12
244,"Edifier R2850DB, Paar","€ 398,90",DiTech.at,2024-07-12
245,"Edifier R2850DB, Paar","€ 404,00",Alternate.at,2024-07-12
246,"Edifier R2850DB, Paar","€ 516,29",mylemon.at,2024-07-12
247,"Polk Audio Signature Elite ES15 weiß, Paar","€ 218,78",Amazon.at,2024-07-12
248,"Polk Audio Signature Elite ES15 weiß, Paar","€ 249,00",electronic4you,2024-07-12
249,"Polk Audio Signature Elite ES15 weiß, Paar","€ 249,00",Majdic,2024-07-12
250,"Polk Audio Signature Elite ES15 weiß, Paar","€ 249,00",electronic4you,2024-07-12
251,"Polk Audio Signature Elite ES15 weiß, Paar","€ 255,99",visunext.at,2024-07-12
252,"Edifier R1280DB weiß, Paar","€ 117,24",geniuzcom,2024-07-12
253,"Edifier R1280DB weiß, Paar","€ 117,26",haym.infotec,2024-07-12
254,"Edifier R1280DB weiß, Paar","€ 123,62",mylemon.at,2024-07-12
255,"Edifier R1280DB weiß, Paar","€ 123,63",galaxus.at,2024-07-12
256,"Edifier R1280DB weiß, Paar","€ 125,19",Amazon.at,2024-07-12
257,"Edifier R1280DB weiß, Paar","€ 130,99",1ashop.at,2024-07-12
258,"Edifier R1280DB weiß, Paar","€ 130,99",Future-X.at,2024-07-12
259,"Edifier R1280DB weiß, Paar","€ 137,00",ElectronicShop24,2024-07-12
260,"Edifier R1280DB weiß, Paar","€ 138,67",Proshop.at,2024-07-12
261,"Edifier R1280DB weiß, Paar","€ 141,90",Alternate.at,2024-07-12
262,"Edifier R1280DB weiß, Paar","€ 142,67",Di-Life,2024-07-12
263,"Edifier R1280DB weiß, Paar","€ 148,00",ms-it-beratung,2024-07-12
264,"Edifier R1280DB weiß, Paar","€ 160,77",mylemon.at,2024-07-12
265,"Canton GLE 20 weiß, Stück","€ 239,00",Radio Krejcik Wien,2024-07-12
266,"Canton GLE 20 weiß, Stück","€ 239,00",HeimkinoWelt,2024-07-12
267,"Canton GLE 20 weiß, Stück","€ 359,99",Media Markt.at,2024-07-12
268,"Canton GLE 20 weiß, Stück","€ 478,00",HeimkinoWelt,2024-07-12
269,"Canton GLE 20 weiß, Stück","€ 478,00",d-t-s.at,2024-07-12
270,"Polk Audio Signature Elite ES20 schwarz, Paar","€ 297,00",electronic4you,2024-07-12
271,"Polk Audio Signature Elite ES20 schwarz, Paar","€ 299,00",electronic4you,2024-07-12
272,"Polk Audio Signature Elite ES20 schwarz, Paar","€ 299,00",Majdic,2024-07-12
273,"Polk Audio Signature Elite ES20 schwarz, Paar","€ 332,77",Amazon.at,2024-07-12
274,"Polk Audio Signature Elite ES20 schwarz, Paar","€ 399,00",Köck,2024-07-12
275,"Edifier R1280T braun, Paar","€ 88,11",alza.at,2024-07-12
276,"Edifier R1280T braun, Paar","€ 88,60",Muziker,2024-07-12
277,"Edifier R1280T braun, Paar","€ 95,18",Proshop.at,2024-07-12
278,"Edifier R1280T braun, Paar","€ 98,52",haym.infotec,2024-07-12
279,"Edifier R1280T braun, Paar","€ 99,00",Proshop.at,2024-07-12
280,"Edifier R1280T braun, Paar","€ 100,04",mylemon.at,2024-07-12
281,"Edifier R1280T braun, Paar","€ 100,05",reichelt.at,2024-07-12
282,"Edifier R1280T braun, Paar","€ 101,89",mylemon.at,2024-07-12
283,"Edifier R1280T braun, Paar","€ 101,90",Alternate.at,2024-07-12
284,"Edifier R1280T braun, Paar","€ 111,10",e-tec.at,2024-07-12
285,"Edifier R1280T braun, Paar","€ 111,10",DiTech.at,2024-07-12
286,"Edifier R1280T braun, Paar","€ 111,10",Amazon.at,2024-07-12
287,"Edifier R1280T braun, Paar","€ 112,39",Future-X.at,2024-07-12
288,"Edifier R1280T braun, Paar","€ 118,00",ElectronicShop24,2024-07-12
289,"Edifier R1280T braun, Paar","€ 126,00",ms-it-beratung,2024-07-12
290,"Edifier R1280T braun, Paar","€ 169,60",galaxus.at,2024-07-12
291,"Edifier R1280T braun, Paar","€ 184,76",mylemon.at,2024-07-12
292,"Edifier R1280T braun, Paar","€ 190,19",Future-X.at,2024-07-12
293,"Edifier R1280T braun, Paar","€ 197,00",ElectronicShop24,2024-07-12
294,"Edifier R1280T braun, Paar","€ 214,90",alza.at,2024-07-12
295,"Edifier R1280T braun, Paar","€ 221,00",ms-it-beratung,2024-07-12
296,"Edifier R1280T schwarz, Paar","€ 98,68",geniuzcom,2024-07-12
297,"Edifier R1280T schwarz, Paar","€ 98,70",haym.infotec,2024-07-12
298,"Edifier R1280T schwarz, Paar","€ 101,89",mylemon.at,2024-07-12
299,"Edifier R1280T schwarz, Paar","€ 101,90",Alternate.at,2024-07-12
300,"Edifier R1280T schwarz, Paar","€ 108,90",I-CS,2024-07-12
301,"Edifier R1280T schwarz, Paar","€ 112,39",1ashop.at,2024-07-12
302,"Edifier R1280T schwarz, Paar","€ 112,39",Future-X.at,2024-07-12
303,"Edifier R1280T schwarz, Paar","€ 112,91",Amazon.at,2024-07-12
304,"Edifier R1280T schwarz, Paar","€ 117,00",ElectronicShop24,2024-07-12
305,"Edifier R1280T schwarz, Paar","€ 117,28",Proshop.at,2024-07-12
306,"Edifier R1280T schwarz, Paar","€ 120,04",Di-Life,2024-07-12
307,"Edifier R1280T schwarz, Paar","€ 124,00",ms-it-beratung,2024-07-12
308,"Edifier R1280T schwarz, Paar","€ 127,72",mylemon.at,2024-07-12
309,"Canton AM 5 schwarz, Stück","€ 221,80",Radio Krejcik Wien,2024-07-12
310,"Canton AM 5 schwarz, Stück","€ 221,80",HeimkinoWelt,2024-07-12
311,"Canton AM 5 schwarz, Stück","€ 229,99",Universal Versand,2024-07-12
312,"Canton AM 5 schwarz, Stück","€ 229,99",Universal Versand,2024-07-12
313,"Canton AM 5 schwarz, Stück","€ 229,99",OTTO Österreich,2024-07-12
314,"Canton AM 5 schwarz, Stück","€ 240,71",Proshop.at,2024-07-12
315,"Canton AM 5 schwarz, Stück","€ 443,60",HeimkinoWelt,2024-07-12
316,"Monitor Audio Bronze 50 6G schwarz, Stück","€ 224,00",HiFi-Design,2024-07-12
317,"Monitor Audio Bronze 50 6G schwarz, Stück","€ 224,00",HeimkinoWelt,2024-07-12
318,"Monitor Audio Bronze 50 6G schwarz, Stück","€ 428,00",HeimkinoPLUS,2024-07-12
319,"Monitor Audio Bronze 50 6G schwarz, Stück","€ 448,00",HeimkinoPLUS,2024-07-12
320,"Monitor Audio Bronze 50 6G schwarz, Stück","€ 448,00",Heimkino24,2024-07-12
321,"DALI Oberon 1 eiche hell, Stück","€ 209,00",HiFi-Design,2024-07-12
322,"DALI Oberon 1 eiche hell, Stück","€ 209,00",katzenbeisser multimedia & mehr,2024-07-12
323,"DALI Oberon 1 eiche hell, Stück","€ 209,00",HeimkinoWelt,2024-07-12
